name,fide,country,followers,joined,last_online,current_rapid_rating,highest_rapid_rating,highest_rapid_date,rapid_win,rapid_draw,rapid_loss,current_blitz_rating,highest_blitz_rating,highest_blitz_date,blitz_win,blitz_draw,blitz_loss,current_bullet_rating,highest_bullet_rating,highest_bullet_date,bullet_win,bullet_draw,bullet_loss,highest_tactics_rating,highest_tactics_date,highest_puzzle_rush_score,is_streamer,status,league
Lucas van Foreest,2544,Netherlands,271,2017,2023,2506,2537,2023,19,3,8,2825,2932,2023,1063,259,678,2838,2911,2023,169,29,131,5110,2019,57,FALSE,premium,Elite
Nicholas Pert,2543,United Kingdom,94,2010,2023,2569,2569,2020,1,0,0,2618,2767,2020,106,21,41,2548,2767,2021,418,18,127,3654,2023,63,FALSE,premium,Wood
Tuan Minh Le,2542,Vietnam,3930,2014,2023,2689,2690,2023,100,47,39,2990,3103,2023,8502,1770,4989,3125,3357,2020,14200,2288,13701,3537,2021,81,TRUE,premium,Legend
John Burke,2542,United States,185,2011,2023,2404,2835,2021,22,5,7,2815,2815,2022,384,34,166,2723,2922,2019,1152,105,510,3015,2013,55,FALSE,premium,Stone
Ruifeng Li,2541,United States,262,2012,2023,2579,2627,2022,278,32,367,2872,2923,2022,834,183,622,2850,2865,2023,197,25,108,3703,2023,51,FALSE,premium,Crystal
Marc Arnold,2540,United States,49,2013,2023,2305,2606,2021,7,0,2,2625,2735,2022,1571,286,1010,2446,2519,2013,24,7,9,1462,2023,65,FALSE,premium,Elite
Mahammad Muradli,2540,Azerbaijan,525,2019,2023,2534,2782,2020,58,29,44,2896,2987,2023,1521,187,931,2962,3025,2022,423,52,356,4013,2023,66,FALSE,premium,Elite
Federico Perez Ponsa,2538,Argentina,710,2015,2023,2624,2701,2021,33,20,18,2809,2973,2021,1280,308,854,3029,3265,2021,3295,532,2947,3234,2021,58,FALSE,premium,Champion
Andrew Tang,2538,United States,7358,2012,2023,2518,2969,2020,565,90,101,2878,3110,2019,3229,399,1856,3262,3504,2020,16575,1282,8195,3022,2020,58,FALSE,premium,Champion
Leonardo Tristan,2537,Argentina,90,2016,2023,2331,2686,2020,9,2,14,2786,2856,2022,1973,231,1286,2775,2836,2023,31,3,27,1200,2019,39,FALSE,premium,Crystal
Khalil Mousavi,2537,Iran,461,2019,2023,2372,2635,2020,16,7,5,2839,3022,2019,221,42,134,2857,3063,2020,301,34,162,3801,2023,82,FALSE,premium,Silver
Robert Aghasaryan,2537,United States,10164,2018,2023,2536,2536,2023,5,0,0,2429,2636,2021,493,93,143,2654,2784,2022,413,29,177,2820,2021,59,FALSE,premium,Bronze
Tomasz Warakomski,2537,Poland,111,2015,2023,1847,2086,2021,8,0,8,2593,2744,2019,247,28,61,2442,2760,2021,293,19,164,2937,2019,46,FALSE,premium,Bronze
Ioan-Cristian Chirila,2536,United States,806,2011,2023,2586,2715,2023,25,9,14,2686,2830,2019,4148,640,3198,2736,2815,2021,2714,344,2356,2899,2014,54,TRUE,premium,Silver
Sankalp Gupta,2536,India,350,2016,2023,2470,2490,2023,31,13,37,2845,2911,2022,1574,308,1528,2869,2931,2021,3638,458,3890,3843,2023,79,FALSE,premium,Crystal
Levan Aroshidze,2535,Spain,247,2012,2023,2265,2533,2020,10,1,0,2545,2660,2021,1160,111,749,2765,2765,2022,81,1,27,2275,2015,43,FALSE,premium,Bronze
Max Warmerdam,2535,Netherlands,141,2016,2023,2425,2686,2020,30,6,14,2842,2900,2021,607,84,317,2727,2867,2020,173,13,112,3005,2020,102,FALSE,premium,Bronze
Batchuluun Tsegmed,2534,Mongolia,42,2020,2023,2495,2656,2020,21,8,7,2674,2789,2020,154,38,118,2395,2793,2021,846,91,802,3284,2022,37,FALSE,premium,Crystal
igor-alexandre Nataf,2534,France,293,2014,2023,1946,2059,2019,15,0,6,2965,2965,2020,96,11,36,2499,2507,2020,107,8,62,3138,2022,66,FALSE,premium,Wood
GILBERTO HERNANDEZ,2533,Mexico,165,2017,2023,2467,2529,2020,3,1,2,2698,2859,2023,470,66,373,2691,2759,2020,5,0,2,2988,2020,36,FALSE,premium,Silver
Vlad Jianu,2532,Romania,147,2016,2023,2327,2428,2021,28,4,2,2680,2757,2021,774,94,264,2609,2747,2022,429,46,266,2852,2016,69,FALSE,premium,Silver
Matej Sebenik,2532,Slovenia,137,2016,2023,2418,2570,2019,6,6,9,2648,2679,2020,736,143,596,2169,2176,2016,1,0,2,3957,2021,45,FALSE,premium,Bronze
Gabor Nagy,2532,Hungary,171,2016,2023,2413,2571,2020,20,5,7,2787,2964,2020,3361,710,2481,2805,2931,2020,1997,224,1365,3194,2023,58,FALSE,premium,Crystal
Fabien Libiszewski,2531,France,2474,2014,2023,2434,2565,2017,31,2,3,2764,2827,2022,1704,255,860,2596,2757,2021,1806,174,901,2895,2023,48,FALSE,premium,Crystal
Vladislav Nevednichy,2531,Romania,58,2019,2023,2148,2500,2020,8,8,10,2672,2787,2022,2602,740,2147,2435,2477,2020,42,6,48,3462,2023,43,FALSE,premium,Champion
Mauricio Flores,2531,United States,727,2014,2023,2594,2656,2019,9,1,1,2827,2938,2022,1381,258,914,2793,2857,2022,3529,326,1877,2330,2015,46,FALSE,premium,Crystal
Konstantine Shanava,2531,Georgia,101,2017,2023,2003,2003,2023,29,0,2,2703,2856,2022,659,117,634,2712,2728,2021,768,62,742,3208,2023,98,FALSE,premium,Silver
Ilya Iljiushenok,2530,Russia,18,2020,2023,1863,1863,2021,6,0,1,2860,2860,2021,145,19,57,2670,2763,2020,77,4,33,2909,2020,67,FALSE,premium,Wood
Ivan Schitco,2530,Moldova,107,2011,2023,2445,2530,2022,19,8,7,2783,2875,2022,1864,397,1502,2717,2839,2020,271,43,181,3188,2021,56,FALSE,premium,Silver
Toms Kantans,2528,Latvia,180,2009,2023,2402,2673,2019,19,7,7,2641,2812,2023,2540,329,1863,2678,2786,2020,565,64,365,3300,2023,57,FALSE,premium,Elite
Athanasios Mastrovasilis,2528,Greece,270,2019,2023,2088,2549,2019,25,8,7,2724,2824,2022,1753,335,792,2754,2754,2022,4,0,1,3162,2022,41,FALSE,premium,Champion
Nicolas Checa,2527,United States,139,2008,2023,2238,2488,2019,21,6,6,2882,3008,2023,2822,600,1727,2857,2928,2023,1805,207,1036,3378,2023,57,FALSE,premium,Champion
Petar Genkov Genov,2526,Bulgaria,74,2013,2023,2127,2497,2020,19,0,3,2098,2341,2013,62,7,29,2186,2271,2014,191,8,92,3545,2023,61,FALSE,premium,Stone
Vishnu Prasanna,2526,India,643,2009,2023,2096,2401,2020,12,1,10,2622,2825,2019,2009,174,1384,2674,2737,2017,1077,37,803,3658,2023,71,FALSE,premium,Silver
Zoltan Medvegy,2526,Hungary,458,2013,2023,2581,2581,2022,161,8,3,2588,2681,2018,1945,202,1057,2713,2645,2018,322,21,143,3201,2023,46,FALSE,premium,Stone
Arjun Erigaisi,2526,India,2566,2015,2023,2661,2829,2023,121,57,49,3089,3154,2023,3812,851,2587,3110,3236,2020,7957,1143,5511,3945,2023,88,FALSE,premium,Elite
Alexander Rustemov,2525,Russia,3092,2020,2023,2704,2704,2023,138,51,95,2885,2988,2023,10113,3037,10128,2772,2775,2023,14,3,3,3547,2023,70,FALSE,premium,Legend
Rashad Babaev,2525,United States,295,2014,2023,1283,2200,2016,17,16,30,2458,2507,2022,304,36,229,2136,2176,2021,27,1,12,2563,2019,42,FALSE,premium,Bronze
Carlos Andres ObregÃ³n,2525,Argentina,153,2021,2022,2607,2822,2022,4,1,2,2938,2938,2022,305,48,260,2765,2780,2021,3,0,2,3180,2022,59,FALSE,premium,Crystal
Roberto G Pantoja,2525,Cuba,120,2018,2023,2455,2494,2020,31,9,11,2659,2831,2020,662,89,384,2506,2513,2020,12,3,12,3021,2022,50,FALSE,premium,Silver
Yan Liu,2524,China,43,2017,2023,2459,2832,2020,5,6,4,2801,2891,2020,811,139,426,2620,2623,2021,55,2,28,4348,2019,52,FALSE,premium,Bronze
Xu Yi,2524,China,489,2018,2023,2465,2714,2022,82,56,56,2725,2927,2022,557,117,233,2553,2625,2021,85,13,47,3948,2022,97,FALSE,premium,Crystal
Volodymyr Vetoshko,2523,Ukraine,251,2013,2023,2476,2553,2023,7,6,7,2680,2827,2020,1923,522,1717,2650,2683,2019,117,32,109,3219,2023,63,FALSE,premium,Silver
Francesco Sonis,2523,Italy,663,2014,2023,2472,2691,2020,115,13,34,2811,2977,2021,14993,2282,12071,2761,2800,2022,367,28,247,3255,2022,60,FALSE,premium,Legend
Ilja Zaragatski,2522,Germany,218,2012,2023,2475,2598,2022,13,1,5,2555,2630,2021,1051,83,772,2570,2438,2019,326,29,177,2747,2017,62,FALSE,premium,Stone
Visakh NR,2522,India,380,2018,2023,2500,2574,2022,38,20,26,2819,2886,2022,2164,703,1420,2869,2920,2020,461,72,267,3920,2020,82,FALSE,premium,Crystal
Marcin KrzyÅ¼anowski,2521,Poland,104,2015,2023,2397,2471,2023,1,0,2,2785,2903,2022,986,169,842,2734,2806,2023,361,31,395,3330,2020,53,FALSE,premium,Silver
Jakov Geller,2521,Russia,28,2017,2023,2710,2377,2020,8,1,0,2675,2721,2020,75,7,39,2803,2821,2022,594,58,342,3766,2023,71,FALSE,premium,Bronze
Luka Budisavljevic,2519,Serbia,66,2019,2023,2368,2609,2020,34,14,34,2601,2637,2022,135,23,136,2664,2726,2022,209,29,297,2765,2022,48,FALSE,premium,Silver
Roman Ovetchkin,2518,Russia,106,2015,2023,2277,2455,2020,10,5,7,2626,2797,2022,366,72,239,2727,2727,2022,39,2,8,2540,2022,59,FALSE,premium,Bronze
Denis Lazavik,2515,Belarus,322,2017,2023,2733,2808,2020,87,79,33,3038,3083,2023,1784,464,922,3147,3151,2023,853,119,588,4240,2023,106,FALSE,premium,Elite
Sahaj Grover,2515,India,357,2016,2023,2369,2681,2020,10,3,9,2778,2778,2023,439,63,314,2734,2764,2020,1417,132,1323,3711,2022,71,FALSE,premium,Silver
Maciej Klekowski,2514,Poland,313,2013,2023,2420,2541,2020,6,3,12,2710,2931,2019,3882,597,2900,2904,2918,2023,1418,142,1125,3713,2023,64,FALSE,premium,Elite
Twan Burg,2514,Netherlands,15,2020,2023,2271,2418,2021,22,10,10,2742,2820,2023,60,7,21,2640,2698,2020,6,0,3,2527,2021,38,FALSE,premium,Stone
Marcin Tazbir,2513,Poland,747,2014,2023,2030,2120,2022,26,3,1,2773,2971,2021,727,216,411,2817,2886,2021,1096,152,610,3347,2022,53,FALSE,premium,Silver
GeminiBoy,2513,China,40,2014,2023,1847,2000,2014,5,0,4,2874,2920,2022,545,54,282,2591,2692,2021,20,1,8,2981,2020,53,FALSE,premium,Silver
Nikola Nestorovic,2513,Serbia,508,2013,2023,2479,2791,2023,2,1,3,2616,2721,2019,815,158,731,2661,2723,2022,283,26,230,2787,2013,40,FALSE,premium,Silver
Steven Zierk,2512,United States,434,2009,2023,2722,2771,2020,7,2,5,2861,3005,2022,1118,186,562,2901,2805,2019,264,14,115,3704,2020,79,FALSE,premium,Stone
Aydin Suleymanli,2512,Azerbaijan,679,2018,2023,2555,2620,2023,81,31,60,2916,2972,2023,1365,203,1126,3076,3105,2023,814,81,670,3642,2022,58,FALSE,premium,Elite
Angel Arribas Lopez,2512,United States,182,2013,2023,2163,2543,2020,12,1,6,2623,2802,2021,553,78,376,2739,2774,2017,1026,125,760,1433,2022,48,FALSE,premium,Stone
Sergey Zablotsky,2511,Russia,477,2016,2023,2380,2772,2020,41,0,2,2711,2792,2022,1606,309,1511,2497,2501,2016,55,2,23,3364,2023,41,FALSE,premium,Silver
Vugar Rasulov,2511,Azerbaijan,345,2016,2023,2595,2621,2022,177,44,60,2894,2993,2023,6243,1085,2549,2868,2957,2021,1310,129,504,2836,2019,68,FALSE,premium,Legend
Sam Sevian,2511,United States,828,2012,2023,2754,2772,2022,116,90,45,3017,3125,2023,3018,583,1561,3047,3146,2019,821,96,484,4187,2021,68,FALSE,premium,Elite
Arjun Kalyan,2509,India,101,2018,2023,2408,2495,2023,25,16,33,2752,2847,2022,802,220,624,2666,2806,2020,46,5,43,3292,2022,73,FALSE,premium,Silver
Abhimanyu Puranik,2509,India,608,2014,2023,2577,2660,2023,11,9,11,2979,2991,2023,1030,191,769,2686,2721,2022,96,8,56,3760,2023,70,FALSE,premium,Silver
Alexander Moskalenko,2508,Czech Republic,950,2015,2023,2435,2509,2022,14,3,8,2853,2968,2020,2815,969,2267,2670,2911,2021,543,108,554,3285,2023,60,FALSE,premium,Crystal
Yunguo Wan,2508,China,15,2020,2023,2201,2589,2021,3,0,1,2654,2721,2020,119,14,110,2703,2553,2020,1,0,0,3218,2020,43,FALSE,premium,Stone
Viacheslav Tilicheev,2507,Bulgaria,86,2020,2023,2374,2747,2022,18,10,2,2661,2741,2023,97,25,48,2745,2796,2022,231,33,120,2500,2022,51,FALSE,premium,Bronze
Aryan Gholami,2507,Iran,368,2017,2023,2249,2545,2020,17,6,10,2745,2822,2021,1510,276,1313,2592,2684,2021,975,97,764,3054,2020,59,FALSE,premium,Silver
Nguyen Duc Hoa,2507,Vietnam,218,2014,2023,2322,2348,2022,23,4,20,2540,2743,2021,6152,651,5710,2341,2489,2015,259,9,214,2577,2018,41,FALSE,premium,Silver
Emanuel Berg,2506,Sweden,23,2014,2023,2453,2613,2022,24,11,11,2775,2775,2023,155,24,91,2590,2627,2021,43,6,16,3757,2023,59,FALSE,premium,Silver
Julio Becerra,2506,United States,1004,2009,2023,2357,2537,2020,97,7,5,2876,2913,2019,2147,429,1427,2710,2747,2022,1139,122,653,3685,2023,65,FALSE,premium,Elite
Tiberiu Georgescu,2505,Romania,194,2015,2023,2003,2003,2021,1,0,0,2623,2690,2023,857,169,659,2531,2679,2023,1980,306,1722,2590,2022,40,FALSE,premium,Silver
Arman Mikaelyan,2504,United States,123,2016,2023,2373,2555,2020,38,17,25,2906,2971,2023,2340,466,2026,2730,2909,2023,266,37,192,3556,2022,53,FALSE,premium,Elite
Maxim Lugovskoy,2504,Russia,160,2014,2022,2226,2218,2022,35,3,19,2802,2802,2022,916,168,639,2700,2744,2022,949,95,889,3213,2020,42,FALSE,premium,Silver
Walter Arencibia,2504,Cuba,214,2014,2023,1848,2401,2020,12,1,2,2617,2720,2023,2595,395,2041,2425,2576,2021,877,59,580,3363,2023,41,FALSE,premium,Elite
Daniel Sadzikowski,2503,Poland,153,2014,2023,2686,2759,2022,4,1,0,2615,2655,2020,362,135,243,2501,2662,2020,70,15,47,3450,2023,61,FALSE,premium,Bronze
Nasanjargal Urtnasan,2503,Mongolia,113,2018,2023,2213,2398,2021,16,11,11,2630,2808,2021,490,76,444,2619,2772,2023,4,0,10,2537,2023,43,FALSE,premium,Silver
Shahin Lorparizangeneh,2502,Iran,716,2011,2023,1687,1687,2022,4,1,0,2692,2903,2019,3005,572,1946,2816,2857,2020,1206,162,792,3030,2022,50,FALSE,premium,Champion
Novendra Priasmoro,2502,Indonesia,505,2015,2023,2311,2597,2020,52,13,34,2760,2939,2022,1765,249,1165,2777,2978,2021,4234,502,3425,4841,2019,53,FALSE,premium,Crystal
Petr Kiryakov,2502,United Arab Emirates,417,2013,2023,2098,2098,2018,1,0,0,2707,2785,2021,1672,269,935,2534,2612,2021,22,1,3,2706,2018,43,FALSE,premium,Bronze
Andrey Gutov,2501,United States,6404,2016,2023,2940,2940,2023,99,0,1,2514,2514,2022,98,6,17,2221,2258,2021,31,0,4,4015,2023,68,FALSE,premium,Wood
Misa Pap,2501,Serbia,250,2007,2023,2513,2527,2022,48,10,17,2680,2772,2020,649,117,668,2600,2641,2012,167,22,180,3516,2023,56,FALSE,premium,Bronze
Wei Ming Kevin Goh,2501,Singapore,686,2009,2023,2133,2475,2020,30,13,23,2682,2814,2022,1397,209,1223,2486,2593,2021,76,4,58,3461,2022,57,FALSE,premium,Silver
amirreza pourramezanali,2501,Iran,423,2015,2023,2255,2255,2021,4,0,0,2593,2920,2019,1315,270,1501,2769,3108,2018,63,11,62,3181,2022,57,FALSE,premium,Bronze
Oskar Wieczorek,2500,International,434,2014,2023,2369,2369,2023,11,0,1,2739,2832,2022,4720,881,4717,2715,2826,2021,3516,430,3636,3744,2022,53,FALSE,premium,Crystal
Robin Swinkels,2500,Netherlands,23,2014,2023,1837,1837,2021,17,3,0,2645,2645,2023,69,14,21,2597,2597,2020,121,3,42,3404,2023,61,FALSE,premium,Bronze
Michael Oratovsky,2500,Spain,65,2015,2023,420,2200,2015,2,3,4,2614,2665,2020,406,43,288,2568,2507,2018,85,10,66,3205,2022,50,FALSE,premium,Silver
Moulthun Ly,2500,Australia,643,2011,2023,2436,2729,2020,31,13,7,2826,2943,2022,2225,397,1531,2719,2780,2020,440,27,200,3391,2023,58,FALSE,premium,Crystal
Simon Williams,2500,United Kingdom,56052,2013,2023,2307,2469,2019,80,12,39,2646,2808,2023,12318,1632,10191,2565,2675,2013,164,15,100,2286,2017,41,TRUE,premium,Champion
Keith Arkell,2500,United Kingdom,259,2016,2023,2351,2520,2021,122,31,17,2502,2745,2019,3229,525,1534,2473,2517,2021,453,41,284,2703,2023,45,FALSE,premium,Champion
Irina Krush,2500,United States,508,2009,2023,2220,2449,2020,13,7,12,2381,2523,2021,230,27,179,2368,2548,2021,37,6,35,3496,2023,30,FALSE,premium,Stone
Jose Gabriel Cardoso,2500,Colombia,455,2014,2023,2488,2518,2023,22,7,13,2797,2869,2021,1782,257,1332,2887,3142,2023,2468,286,2034,3519,2023,83,FALSE,premium,Crystal
Justin Tan,2500,Australia,204,2015,2023,2047,2515,2020,5,0,2,2900,2975,2023,4217,761,3397,2879,2770,2018,791,74,506,3072,2019,58,FALSE,premium,Bronze
ElGasanov,2500,Ukraine,63,2018,2023,2421,2544,2020,6,3,3,2734,2856,2021,376,47,178,2489,2365,2018,21,0,10,3285,2022,62,FALSE,premium,Wood
Dusan Popovic,2500,Serbia,136,2015,2023,1906,2000,2016,3,2,0,2840,2890,2023,890,144,620,2819,2891,2023,98,10,52,3266,2021,53,FALSE,premium,Bronze
Timur Gareyev,2500,United States,251,2013,2023,2620,2636,2023,25,7,27,2773,2937,2022,441,34,200,2756,2767,2023,202,11,143,2781,2013,33,FALSE,premium,Silver
Pavel Kotsur,2500,Kazakhstan,41,2018,2023,1954,2476,2020,15,7,9,2619,2828,2019,1269,253,1060,2476,2344,2019,27,2,19,2859,2019,40,FALSE,premium,Stone
Girish Koushik,2499,United Kingdom,102,2016,2023,2313,2326,2020,6,1,3,2684,2777,2020,553,62,225,2545,2395,2020,57,1,13,3417,2023,64,FALSE,premium,Wood
Miloje Ratkovic,2499,Serbia,411,2019,2023,2301,2514,2020,31,5,10,2567,2858,2020,765,149,824,2562,2711,2023,90,18,128,2415,2019,48,FALSE,premium,Silver
Jose Rafael Gascon,2498,Andorra,1517,2013,2023,2431,2679,2020,80,14,12,2494,2779,2023,5170,943,4769,2617,2684,2023,648,71,669,3581,2022,61,TRUE,premium,Legend
Carlos Matamoros,2498,Ecuador,3318,2017,2023,2440,2520,2023,15,9,16,2622,2688,2023,818,71,218,2531,2684,2022,896,82,504,2538,2021,44,TRUE,staff,Crystal
Dmitry Maximov,2497,Ukraine,135,2018,2023,2552,2552,2022,1,0,0,2790,2860,2022,1677,242,1637,2655,2802,2022,42,3,21,2905,2022,55,FALSE,premium,Crystal
Rahul Srivatshav P,2496,India,475,2014,2023,2490,2797,2020,33,9,20,2745,2884,2020,1399,232,1166,2643,2791,2020,776,87,588,3199,2018,75,FALSE,premium,Silver
Lev Yankelevich,2496,Germany,117,2012,2023,1465,1465,2013,1,0,0,2440,2724,2022,1884,391,1553,2413,2618,2021,525,53,445,3538,2023,44,FALSE,premium,Elite
Vignesh N.R,2495,India,509,2018,2023,2530,2530,2021,3,0,0,2812,2889,2021,1911,544,1573,2446,2447,2018,1,1,2,4556,2019,74,FALSE,premium,Silver
Razvan Preotu,2495,Canada,133,2014,2023,2501,2748,2021,61,14,41,2738,2833,2020,4326,649,2958,2867,2867,2021,208,19,120,3067,2021,54,FALSE,premium,Silver
Bilel Bellahcene,2495,Algeria,333,2016,2023,2483,2483,2021,2,0,0,2682,2708,2023,1007,135,684,2646,2675,2023,353,47,219,3062,2022,42,FALSE,premium,Crystal
Magesh Chandran Panchanathan,2494,United States,402,2009,2023,1408,2000,2015,5,1,3,2651,2750,2020,477,66,289,2186,2270,2020,40,3,35,3414,2023,46,FALSE,premium,Bronze
Michal Matuszewski,2494,Poland,59,2014,2023,2384,2384,2020,19,0,1,2321,2501,2020,57,9,42,2129,2171,2020,17,0,20,2696,2021,27,FALSE,premium,Stone
Ð—ÑƒÐ±Ð°Ñ€ÐµÐ² ÐÐ»ÐµÐºÑÐ°Ð½Ð´Ñ€,2494,Ukraine,30,2019,2023,2257,2465,2020,7,1,5,2549,2595,2021,421,52,252,2361,2481,2020,3,0,3,2450,2020,62,FALSE,premium,Silver
Dimitri Komarov,2493,United Arab Emirates,50,2019,2023,2358,2392,2020,1,2,0,2507,2547,2020,182,48,46,2617,2617,2020,2,2,0,2979,2022,40,FALSE,premium,Bronze
Harika Dronavalli,2492,India,881,2017,2023,2437,2624,2020,52,39,60,2682,2748,2021,314,177,190,2649,2699,2022,52,28,40,1268,2021,51,FALSE,premium,Silver
